03:42:15.581521 eth0  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:15.581596 eth1  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:15.818724 eth1  M   IP eigrp_r5_1.eigrp_n1 > 224.0.0.10: EIGRP Hello, length: 40
03:42:19.572497 eth0  M   IP eigrp_r0_1.eigrp_n0 > 224.0.0.10: EIGRP Hello, length: 40
03:42:20.581706 eth0  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:20.581787 eth1  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:20.818746 eth1  M   IP eigrp_r5_1.eigrp_n1 > 224.0.0.10: EIGRP Hello, length: 40
03:42:24.573658 eth0  M   IP eigrp_r0_1.eigrp_n0 > 224.0.0.10: EIGRP Hello, length: 40
03:42:25.581872 eth0  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:25.581936 eth1  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:25.818766 eth1  M   IP eigrp_r5_1.eigrp_n1 > 224.0.0.10: EIGRP Hello, length: 40
03:42:29.574719 eth0  M   IP eigrp_r0_1.eigrp_n0 > 224.0.0.10: EIGRP Hello, length: 40
03:42:30.582912 eth0  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:30.582985 eth1  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:30.818802 eth1  M   IP eigrp_r5_1.eigrp_n1 > 224.0.0.10: EIGRP Hello, length: 40
03:42:34.575827 eth0  M   IP eigrp_r0_1.eigrp_n0 > 224.0.0.10: EIGRP Hello, length: 40
03:42:35.583016 eth0  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:35.583083 eth1  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:35.818826 eth1  M   IP eigrp_r5_1.eigrp_n1 > 224.0.0.10: EIGRP Hello, length: 40
03:42:39.576923 eth0  M   IP eigrp_r0_1.eigrp_n0 > 224.0.0.10: EIGRP Hello, length: 40
03:42:40.583111 eth0  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:40.583177 eth1  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:40.818831 eth1  M   IP eigrp_r5_1.eigrp_n1 > 224.0.0.10: EIGRP Hello, length: 40
03:42:44.578203 eth0  M   IP eigrp_r0_1.eigrp_n0 > 224.0.0.10: EIGRP Hello, length: 40
03:42:45.583429 eth0  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:45.583504 eth1  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:45.818978 eth1  M   IP eigrp_r5_1.eigrp_n1 > 224.0.0.10: EIGRP Hello, length: 40
03:42:49.579381 eth0  M   IP eigrp_r0_1.eigrp_n0 > 224.0.0.10: EIGRP Hello, length: 40
03:42:50.583575 eth0  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:50.583646 eth1  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:50.819136 eth1  M   IP eigrp_r5_1.eigrp_n1 > 224.0.0.10: EIGRP Hello, length: 40
03:42:54.580442 eth0  M   IP eigrp_r0_1.eigrp_n0 > 224.0.0.10: EIGRP Hello, length: 40
03:42:55.584625 eth0  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:55.584700 eth1  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:42:55.819181 eth1  M   IP eigrp_r5_1.eigrp_n1 > 224.0.0.10: EIGRP Hello, length: 40
03:42:59.581565 eth0  M   IP eigrp_r0_1.eigrp_n0 > 224.0.0.10: EIGRP Hello, length: 40
03:43:00.584775 eth0  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:43:00.584850 eth1  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:43:00.820162 eth1  M   IP eigrp_r5_1.eigrp_n1 > 224.0.0.10: EIGRP Hello, length: 40
03:43:04.582704 eth0  M   IP eigrp_r0_1.eigrp_n0 > 224.0.0.10: EIGRP Hello, length: 40
03:43:05.584907 eth0  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:43:05.584986 eth1  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:43:05.820183 eth1  M   IP eigrp_r5_1.eigrp_n1 > 224.0.0.10: EIGRP Hello, length: 40
03:43:09.583912 eth0  M   IP eigrp_r0_1.eigrp_n0 > 224.0.0.10: EIGRP Hello, length: 40
03:43:10.585107 eth0  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:43:10.585173 eth1  Out IP 74e130f75b0f > 224.0.0.10: EIGRP Hello, length: 40
03:43:10.820199 eth1  M   IP eigrp_r5_1.eigrp_n1 > 224.0.0.10: EIGRP Hello, length: 40

